id,dev_domain,gender,year_joined,hacktoberfest
10914,DevOps,F,2021,No
10915,Windows,Other,2023,No
10916,IOS,F,2020,No
10917,Machine Learning,M,2022,Yes
10918,Cloud,M,2010,No
10919,Windows,M,2020,Yes
10920,Web,M,2023,Yes
10921,Machine Learning,F,2016,No
10922,Cybersecurity,F,2021,No
10923,Cloud,F,2011,No
10924,DevOps,F,2017,Yes
10925,Cybersecurity,M,2020,No
10926,IOS,M,2020,Yes
10927,Machine Learning,M,2008,Yes
10928,DevOps,M,2015,No
10929,Machine Learning,M,2018,No
10930,DevOps,F,2010,No
10931,Android,F,2019,No
10932,Cloud,M,2011,No
10933,Web,M,2008,Yes
10934,Android,M,2015,Yes
10935,DevOps,Other,2019,Yes
10936,Machine Learning,M,2016,Yes
10937,Cybersecurity,F,2008,Yes
10938,Windows,F,2018,No
10939,IOS,M,2013,No
10940,Cloud,Other,2022,No
10941,Cybersecurity,F,2019,No
10942,IOS,F,2017,No
10943,Android,Other,2021,No
10944,Web,M,2019,No
10945,DevOps,F,2022,No
10946,Cloud,M,2016,Yes
10947,Windows,M,2021,No
10948,Android,M,2009,Yes
10949,Cybersecurity,F,2014,Yes
10950,Windows,F,2020,Yes
10951,IOS,F,2021,No
10952,Machine Learning,M,2009,Yes
10953,Cybersecurity,Other,2010,Yes
10954,Cybersecurity,Other,2018,No
10955,Windows,F,2016,Yes
10956,IOS,M,2020,No
10957,DevOps,M,2016,Yes
10958,Android,M,2009,No
10959,Android,F,2017,No
10960,DevOps,M,2017,Yes
10961,Machine Learning,F,2023,No
10962,Android,M,2022,Yes
10963,Cloud,Other,2012,No
10964,Windows,M,2021,Yes
10965,IOS,M,2023,No
10966,Web,M,2009,No
10967,Windows,F,2008,Yes
10968,Web,F,2012,No
10969,Cloud,M,2012,No
10970,Android,M,2009,No
10971,Cloud,M,2009,Yes
10972,Cybersecurity,M,2016,No
10973,Machine Learning,Other,2019,No
10974,IOS,Other,2017,No
10975,Machine Learning,M,2019,No
10976,Cybersecurity,M,2022,Yes
10977,Cybersecurity,M,2014,No
10978,Android,M,2022,No
10979,Cybersecurity,Other,2011,No
10980,Web,F,2020,Yes
10981,Web,M,2010,Yes
10982,Cybersecurity,Other,2021,No
10983,Machine Learning,M,2011,Yes
10984,Cybersecurity,M,2017,Yes
10985,Machine Learning,M,2012,No
10986,Machine Learning,M,2021,No
10987,IOS,M,2011,No
10988,Android,M,2009,No
10989,Web,M,2013,No
10990,Cloud,M,2018,Yes
10991,Cybersecurity,M,2018,Yes
10992,Cybersecurity,M,2008,No
10993,IOS,F,2014,No
10994,Web,F,2022,No
10995,Android,M,2021,No
10996,Cloud,F,2014,No
10997,Windows,F,2016,No
10998,IOS,M,2019,No
10999,DevOps,M,2008,Yes
11000,Web,F,2019,Yes
11001,Android,M,2021,No
11002,IOS,F,2013,Yes
11003,Windows,Other,2017,No
11004,Cybersecurity,Other,2019,Yes
11005,Machine Learning,F,2011,No
11006,Windows,F,2012,Yes
11007,Windows,F,2015,Yes
11008,DevOps,F,2016,No
11009,IOS,F,2018,Yes
11010,IOS,M,2009,No
11011,Machine Learning,M,2023,No
11012,Web,F,2015,Yes
11013,Windows,M,2011,No
11014,IOS,M,2022,No
11015,Machine Learning,M,2009,Yes
11016,Cloud,Other,2019,No
11017,Cloud,M,2020,Yes
11018,DevOps,F,2018,No
11019,IOS,M,2015,Yes
11020,IOS,F,2017,No
11021,IOS,Other,2008,Yes
11022,Windows,Other,2013,Yes
11023,Machine Learning,M,2011,No
11024,Web,M,2011,No
11025,Windows,M,2013,Yes
11026,Web,F,2013,Yes
11027,Cloud,F,2017,No
11028,DevOps,M,2010,No
11029,Cybersecurity,M,2010,Yes
11030,DevOps,F,2020,Yes
11031,Windows,M,2017,No
11032,Android,M,2013,Yes
11033,DevOps,M,2015,No
11034,Cloud,Other,2012,Yes
11035,Cloud,F,2022,No
11036,Web,F,2014,No
11037,Android,M,2013,Yes
11038,Android,M,2015,No
11039,Web,M,2016,No
11040,Windows,F,2009,Yes
11041,IOS,F,2021,Yes
11042,Web,F,2023,No
11043,Android,Other,2009,No
11044,Android,M,2020,Yes
11045,DevOps,M,2010,No
11046,Cloud,Other,2019,Yes
11047,Web,M,2009,Yes
11048,Machine Learning,Other,2017,Yes
11049,Android,M,2014,Yes
11050,IOS,F,2016,No
11051,Cybersecurity,Other,2013,No
11052,Web,M,2022,Yes
11053,Machine Learning,F,2012,Yes
11054,Web,F,2008,No
11055,Web,M,2010,Yes
11056,Windows,F,2015,No
11057,DevOps,Other,2011,Yes
11058,Machine Learning,F,2009,No
11059,Windows,M,2022,Yes
11060,Web,F,2019,No
11061,Cloud,F,2011,No
11062,Cloud,Other,2010,Yes
11063,Web,F,2014,No
11064,Cybersecurity,M,2017,Yes
11065,Cybersecurity,F,2012,Yes
11066,Android,M,2020,No
11067,Windows,Other,2010,No
11068,Web,M,2008,Yes
11069,Web,M,2019,No
11070,Cloud,M,2013,No
11071,Cybersecurity,M,2016,Yes
11072,Cybersecurity,M,2009,Yes
11073,Cloud,M,2020,Yes
11074,Android,F,2010,No
11075,Cybersecurity,Other,2010,No
11076,Cybersecurity,F,2009,No
11077,Web,F,2010,Yes
11078,DevOps,F,2019,No
11079,Windows,F,2010,No
11080,Cybersecurity,F,2022,No
11081,DevOps,M,2023,No
11082,DevOps,Other,2011,No
11083,DevOps,M,2022,Yes
11084,DevOps,M,2020,Yes
11085,Cybersecurity,M,2020,Yes
11086,Web,F,2009,Yes
11087,IOS,M,2014,No
11088,Windows,F,2016,No
11089,IOS,M,2018,Yes
11090,Windows,M,2010,No
11091,Machine Learning,M,2010,Yes
11092,Cloud,F,2023,No
11093,Windows,M,2023,No
11094,DevOps,M,2020,Yes
11095,Cybersecurity,M,2012,Yes
11096,Machine Learning,F,2010,No
11097,Machine Learning,M,2009,No
11098,Web,M,2017,Yes
11099,Machine Learning,F,2014,Yes
11100,Cybersecurity,M,2023,Yes
11101,Web,M,2020,No
11102,IOS,M,2021,Yes
11103,IOS,Other,2019,No
11104,DevOps,M,2023,Yes
11105,Cybersecurity,F,2021,Yes
11106,Machine Learning,F,2022,Yes
11107,Cloud,M,2010,No
11108,Windows,M,2022,No
11109,Windows,M,2015,No
11110,IOS,Other,2012,No
11111,IOS,M,2021,Yes
11112,Web,F,2013,Yes
11113,DevOps,F,2018,Yes
11114,IOS,F,2019,Yes
11115,Machine Learning,F,2011,No
11116,DevOps,F,2021,Yes
11117,Machine Learning,Other,2014,No
11118,Android,Other,2022,Yes
11119,Cybersecurity,F,2019,Yes
11120,Cybersecurity,F,2022,Yes
11121,IOS,M,2023,Yes
11122,Web,M,2020,Yes
11123,Machine Learning,F,2021,Yes
11124,DevOps,Other,2008,Yes
11125,Cloud,M,2017,Yes
11126,Windows,M,2021,Yes
11127,IOS,F,2020,No
11128,DevOps,M,2021,No
11129,Cybersecurity,F,2011,No
11130,DevOps,F,2016,Yes
11131,Machine Learning,M,2011,No
11132,Android,F,2015,Yes
11133,Android,F,2015,Yes
11134,IOS,Other,2018,Yes
11135,Cloud,M,2010,No
11136,Android,M,2014,No
11137,Cybersecurity,F,2008,No
11138,Machine Learning,Other,2019,Yes
11139,Web,F,2022,Yes
11140,IOS,F,2011,Yes
11141,Web,F,2022,No
11142,Cloud,F,2018,No
11143,Cloud,F,2008,Yes
11144,Web,M,2014,No
11145,Android,F,2021,No
11146,Machine Learning,M,2021,No
11147,IOS,M,2021,No
11148,Cybersecurity,F,2022,No
11149,Windows,F,2023,Yes
11150,Web,F,2019,No
11151,Windows,M,2017,Yes
11152,Web,M,2023,Yes
11153,Cloud,M,2023,No
11154,Machine Learning,F,2019,No
11155,Cybersecurity,F,2013,No
11156,Cloud,F,2008,Yes
11157,Machine Learning,M,2022,Yes
11158,DevOps,Other,2018,No
11159,Web,F,2012,No
11160,DevOps,F,2017,No
11161,Web,F,2018,No
11162,Android,F,2022,No
11163,Cloud,Other,2023,Yes
11164,DevOps,M,2010,No
11165,Machine Learning,F,2009,Yes
11166,IOS,M,2018,No
11167,IOS,Other,2010,No
11168,Windows,F,2010,Yes
11169,Cybersecurity,F,2010,Yes
11170,IOS,F,2016,Yes
11171,Cloud,M,2013,Yes
11172,Cybersecurity,F,2017,No
11173,Machine Learning,M,2008,No
11174,Windows,F,2021,Yes
11175,Machine Learning,F,2011,No
11176,Android,F,2015,No
11177,Machine Learning,F,2023,Yes
11178,Cloud,M,2015,Yes
11179,DevOps,Other,2010,Yes
11180,Windows,M,2023,Yes
11181,Cloud,F,2012,No
11182,DevOps,Other,2020,Yes
11183,Android,M,2013,No
11184,Machine Learning,M,2023,Yes
11185,DevOps,F,2011,Yes
11186,Android,M,2016,Yes
11187,DevOps,F,2015,Yes
11188,Web,F,2018,Yes
11189,Machine Learning,M,2014,No
11190,Web,M,2019,Yes
11191,Windows,F,2016,Yes
11192,IOS,Other,2021,No
11193,Android,M,2022,Yes
11194,Machine Learning,M,2017,Yes
11195,Cloud,M,2023,Yes
11196,Android,F,2018,No
11197,Machine Learning,F,2010,Yes
11198,Web,F,2019,No
11199,IOS,M,2017,Yes
11200,DevOps,F,2010,No
11201,IOS,M,2018,Yes
11202,Windows,M,2014,No
11203,Cybersecurity,F,2023,Yes
11204,Android,Other,2022,No
11205,Android,F,2017,Yes
11206,Machine Learning,F,2011,No
11207,DevOps,M,2012,No
11208,Machine Learning,M,2020,No
11209,Machine Learning,F,2020,No
11210,Cloud,F,2023,Yes
11211,Windows,Other,2018,Yes
11212,Cloud,F,2021,Yes
11213,Android,M,2018,No
11214,Cloud,M,2011,Yes
11215,Cybersecurity,F,2014,No
11216,Android,M,2009,Yes
11217,DevOps,F,2012,Yes
11218,Cybersecurity,M,2009,Yes
11219,Cloud,F,2009,No
11220,Cybersecurity,F,2021,Yes
11221,IOS,M,2023,Yes
11222,Cybersecurity,F,2015,No
11223,Cloud,F,2017,Yes
11224,Web,F,2021,Yes
11225,Cloud,Other,2012,No
11226,Windows,F,2021,No
11227,Windows,F,2015,No
11228,Cloud,F,2012,Yes
11229,Windows,M,2023,No
11230,IOS,F,2015,No
11231,Machine Learning,F,2011,No
11232,Windows,F,2019,Yes
11233,Windows,M,2017,Yes
11234,Web,F,2019,No
11235,DevOps,M,2011,Yes
11236,Cybersecurity,M,2010,No
11237,Android,Other,2012,No
11238,Windows,F,2019,No
11239,Machine Learning,F,2014,No
11240,Web,F,2019,No
11241,DevOps,F,2009,No
11242,Cybersecurity,M,2017,Yes
11243,Web,F,2014,Yes
11244,DevOps,F,2011,No
11245,Web,F,2019,No
11246,Cybersecurity,M,2017,Yes
11247,Machine Learning,M,2011,No
11248,Machine Learning,Other,2012,Yes
11249,Android,F,2018,No
11250,Web,M,2020,No
11251,Machine Learning,F,2021,No
11252,Cybersecurity,F,2010,No
11253,Web,M,2018,No
11254,Cybersecurity,M,2008,No
11255,Web,F,2017,No
11256,Machine Learning,F,2009,Yes
11257,DevOps,M,2008,Yes
11258,DevOps,F,2010,Yes
11259,Machine Learning,F,2014,No
11260,Cybersecurity,M,2021,No
11261,IOS,M,2016,No
11262,Cybersecurity,M,2022,Yes
11263,Windows,M,2021,Yes
11264,Android,M,2020,No
11265,Cloud,Other,2021,Yes
11266,Web,F,2023,No
11267,Windows,F,2011,Yes
11268,IOS,F,2009,Yes
11269,Windows,F,2022,Yes
11270,Web,F,2009,Yes
11271,DevOps,Other,2014,Yes
11272,Cloud,M,2010,Yes
11273,Machine Learning,M,2020,Yes
11274,IOS,M,2019,Yes
11275,Windows,M,2020,No
11276,DevOps,M,2012,No
11277,Web,F,2015,Yes
11278,Cybersecurity,M,2012,No
11279,IOS,Other,2019,No
11280,Cloud,F,2012,No
11281,Web,F,2015,No
11282,Web,M,2015,Yes
11283,Android,M,2008,Yes
11284,Cloud,F,2009,Yes
11285,Cybersecurity,M,2014,No
11286,Android,F,2017,No
11287,IOS,F,2017,No
11288,Cloud,Other,2023,No
11289,Cybersecurity,M,2019,No
11290,Web,M,2017,No
11291,Web,F,2023,Yes
11292,Windows,F,2015,No
11293,Cloud,M,2013,Yes
11294,DevOps,M,2015,Yes
11295,Cloud,F,2020,Yes
11296,Android,Other,2020,Yes
11297,DevOps,F,2020,Yes
11298,Windows,F,2022,No
11299,Windows,F,2010,Yes
11300,Windows,Other,2014,Yes
11301,DevOps,F,2015,Yes
11302,Cybersecurity,F,2012,No
11303,IOS,Other,2017,No
11304,Android,F,2020,Yes
11305,Machine Learning,M,2014,Yes
11306,Cloud,F,2008,Yes
11307,Android,M,2010,No
11308,DevOps,Other,2011,No
11309,IOS,M,2019,Yes
11310,Cybersecurity,M,2018,Yes
11311,Cloud,M,2017,Yes
11312,Cybersecurity,Other,2011,No
11313,IOS,M,2011,Yes
11314,DevOps,F,2014,Yes
11315,IOS,F,2017,Yes
11316,Windows,M,2020,Yes
11317,Cloud,M,2021,Yes
11318,DevOps,F,2018,No
11319,Machine Learning,M,2019,No
11320,DevOps,M,2013,No
11321,Web,M,2021,No
11322,Machine Learning,M,2023,Yes
11323,Cybersecurity,M,2016,No
11324,Cybersecurity,F,2020,Yes
11325,Windows,F,2018,No
11326,Windows,M,2010,Yes
11327,Android,F,2012,Yes
11328,Cloud,Other,2012,No
11329,Cybersecurity,F,2015,Yes
11330,Machine Learning,F,2009,No
11331,IOS,F,2022,No
11332,IOS,Other,2008,No
11333,Web,M,2022,Yes
11334,Machine Learning,M,2013,Yes
11335,DevOps,M,2022,No
11336,Cybersecurity,M,2013,Yes
11337,DevOps,F,2021,No
11338,Android,M,2012,Yes
11339,Cybersecurity,M,2013,No
11340,Cloud,M,2014,Yes
11341,Machine Learning,F,2010,Yes
11342,Android,M,2016,Yes
11343,Cybersecurity,F,2016,Yes
11344,Windows,F,2017,Yes
11345,Web,F,2017,No
11346,IOS,F,2015,Yes
11347,Android,M,2011,No
11348,Machine Learning,Other,2008,Yes
11349,Cybersecurity,M,2017,No
11350,Android,M,2010,Yes
11351,Web,M,2019,Yes
11352,DevOps,F,2017,No
11353,Android,Other,2016,No
11354,DevOps,Other,2020,No
11355,DevOps,Other,2016,Yes
11356,DevOps,F,2009,Yes
11357,Android,F,2010,Yes
11358,IOS,M,2018,No
11359,Cloud,M,2009,Yes
11360,IOS,M,2019,Yes
11361,Web,F,2023,Yes
11362,Cloud,M,2019,No
11363,Web,F,2021,Yes
11364,Android,F,2010,Yes
11365,Web,Other,2019,Yes
11366,IOS,F,2017,No
11367,DevOps,M,2017,Yes
11368,DevOps,M,2019,Yes
11369,Machine Learning,M,2019,No
11370,Web,M,2011,No
11371,Cybersecurity,M,2011,Yes
11372,DevOps,F,2017,No
11373,Machine Learning,M,2012,Yes
11374,Cloud,M,2016,Yes
11375,Web,F,2018,Yes
11376,Cloud,M,2020,Yes
11377,Machine Learning,F,2012,No
11378,DevOps,Other,2019,No
11379,Windows,F,2017,No
11380,Android,M,2018,No
11381,Cybersecurity,F,2017,Yes
11382,Windows,M,2019,No
11383,Web,Other,2019,No
11384,Cloud,M,2021,No
11385,Machine Learning,M,2014,Yes
11386,Machine Learning,M,2019,Yes
11387,IOS,Other,2015,No
11388,Web,F,2011,Yes
11389,Cloud,Other,2019,Yes
11390,IOS,M,2018,No
11391,Web,F,2014,No
11392,Cloud,M,2015,Yes
11393,Web,M,2013,No
11394,Cybersecurity,F,2015,Yes
11395,Machine Learning,F,2019,No
11396,Cloud,F,2012,Yes
11397,Cybersecurity,M,2012,No
11398,DevOps,M,2021,Yes
11399,Android,Other,2013,No
11400,Cloud,M,2013,No
11401,IOS,M,2023,No
11402,IOS,M,2013,No
11403,Android,M,2019,Yes
11404,DevOps,M,2013,No
11405,Machine Learning,M,2021,No
11406,Windows,M,2018,Yes
11407,Machine Learning,F,2013,No
11408,DevOps,F,2014,Yes
11409,Windows,F,2017,No
11410,Windows,F,2012,Yes
11411,Web,M,2020,Yes
11412,IOS,M,2023,Yes
11413,Machine Learning,M,2023,No
11414,DevOps,M,2022,Yes
11415,IOS,M,2009,Yes
11416,Web,F,2022,No
11417,Web,F,2013,No
11418,Android,M,2015,Yes
11419,Cybersecurity,M,2021,Yes
11420,Android,F,2018,Yes
11421,Web,F,2020,No
11422,Cloud,F,2022,No
11423,Android,M,2020,No
11424,Cybersecurity,F,2013,No
11425,Cloud,F,2018,Yes
11426,Cloud,M,2009,Yes
11427,Android,M,2017,No
11428,Web,M,2011,No
11429,Machine Learning,F,2016,No
11430,Windows,M,2012,No
11431,DevOps,M,2019,Yes
11432,Windows,M,2020,Yes
11433,Windows,F,2008,Yes
11434,Web,F,2012,Yes
11435,Web,M,2010,No
11436,Cloud,M,2020,No
11437,Web,F,2015,Yes
11438,Cloud,F,2010,No
11439,DevOps,Other,2015,Yes
11440,DevOps,F,2014,Yes
11441,Machine Learning,M,2022,No
11442,Android,F,2019,Yes
11443,Cybersecurity,F,2019,Yes
11444,Web,F,2021,No
11445,Machine Learning,M,2019,No
11446,Web,M,2023,Yes
11447,Cybersecurity,M,2021,No
11448,Windows,M,2013,No
11449,IOS,Other,2022,No
11450,Android,M,2017,Yes
11451,Cybersecurity,M,2008,Yes
11452,IOS,M,2022,No
11453,Machine Learning,F,2012,No
11454,IOS,M,2016,Yes
11455,Machine Learning,M,2020,Yes
11456,IOS,F,2019,Yes
11457,Cybersecurity,M,2014,Yes
11458,Web,F,2009,Yes
11459,Web,M,2012,No
11460,Cybersecurity,M,2020,No
11461,Android,Other,2013,No
11462,IOS,F,2021,Yes
11463,Cybersecurity,F,2019,Yes
11464,DevOps,Other,2022,Yes
11465,Windows,M,2014,No
11466,Android,M,2018,No
11467,Cybersecurity,Other,2017,Yes
11468,Android,M,2020,No
11469,DevOps,Other,2016,Yes
11470,Cybersecurity,F,2013,No
11471,Cybersecurity,M,2021,Yes
11472,Cybersecurity,F,2011,Yes
11473,Android,M,2014,Yes
11474,Cloud,F,2016,No
11475,DevOps,M,2022,Yes
11476,Android,F,2013,No
11477,Android,M,2011,No
11478,Windows,M,2009,No
11479,Machine Learning,M,2010,Yes
11480,Machine Learning,F,2013,No
11481,DevOps,M,2021,Yes
11482,Cybersecurity,F,2019,No
11483,Cybersecurity,F,2008,Yes
11484,Web,Other,2020,Yes
11485,IOS,Other,2017,Yes
11486,Cybersecurity,M,2019,No
11487,IOS,M,2013,No
11488,Cybersecurity,M,2012,No
11489,IOS,F,2021,No
11490,DevOps,M,2013,No
11491,Android,M,2016,Yes
11492,Machine Learning,Other,2020,No
11493,Web,F,2008,Yes
11494,IOS,M,2015,Yes
11495,Cybersecurity,Other,2022,Yes
11496,Android,M,2023,No
11497,Machine Learning,F,2015,No
11498,Cloud,F,2012,No
11499,DevOps,F,2008,No
11500,Web,M,2013,Yes
11501,Cloud,F,2009,Yes
11502,Windows,M,2016,No
11503,Cloud,Other,2008,Yes
11504,Cloud,M,2019,Yes
11505,Android,F,2014,No
11506,Cybersecurity,M,2018,Yes
11507,Android,M,2017,No
11508,IOS,M,2020,No
11509,IOS,M,2009,Yes
11510,Machine Learning,F,2018,No
11511,Cybersecurity,M,2010,Yes
11512,DevOps,F,2021,Yes
11513,IOS,M,2019,No
11514,Cybersecurity,M,2023,Yes
11515,Windows,F,2009,Yes
11516,Windows,F,2016,Yes
11517,Machine Learning,M,2008,No
11518,Web,M,2015,No
11519,Windows,M,2016,No
11520,IOS,Other,2009,No
11521,IOS,M,2012,No
11522,IOS,M,2016,Yes
11523,IOS,Other,2023,No
11524,IOS,F,2008,Yes
11525,Machine Learning,F,2010,Yes
11526,Windows,M,2022,Yes
11527,Web,F,2022,No
11528,DevOps,F,2013,No
11529,Machine Learning,Other,2021,Yes
11530,Cloud,F,2011,Yes
11531,Cloud,M,2008,No
11532,Machine Learning,F,2014,No
11533,Android,F,2011,No
11534,Windows,F,2018,No
11535,DevOps,M,2021,Yes
11536,Web,Other,2008,No
11537,IOS,F,2008,Yes
11538,Machine Learning,M,2012,No
11539,IOS,F,2009,No
11540,DevOps,F,2014,Yes
11541,Windows,M,2018,No
11542,Android,M,2021,Yes
11543,Machine Learning,M,2022,No
11544,Machine Learning,Other,2014,Yes
11545,Android,Other,2012,Yes
11546,Android,F,2019,No
11547,Cybersecurity,Other,2019,Yes
11548,Windows,F,2021,Yes
11549,Android,F,2012,No
11550,Web,F,2022,No
11551,Cybersecurity,Other,2012,No
11552,Cloud,Other,2015,No
11553,Windows,M,2013,Yes
11554,Machine Learning,F,2013,Yes
11555,Cybersecurity,M,2022,Yes
11556,Cloud,M,2009,No
11557,Cybersecurity,M,2009,Yes
11558,DevOps,M,2016,No
11559,IOS,M,2023,No
11560,Android,F,2019,Yes
11561,IOS,F,2014,No
11562,DevOps,F,2019,No
11563,DevOps,F,2020,Yes
11564,Windows,F,2018,No
11565,Android,Other,2016,No
11566,Android,Other,2009,No
11567,Web,F,2014,No
11568,IOS,F,2018,Yes
11569,Web,M,2012,Yes
11570,Cloud,F,2018,No
11571,Cybersecurity,F,2009,Yes
11572,Windows,F,2013,No
11573,IOS,F,2011,Yes
11574,IOS,F,2019,No
11575,Cybersecurity,M,2018,Yes
11576,Android,F,2013,Yes
11577,Windows,M,2015,Yes
11578,Windows,M,2013,No
11579,IOS,F,2021,Yes
11580,Android,F,2019,Yes
11581,Cloud,F,2017,Yes
11582,Android,M,2018,Yes
11583,Windows,M,2020,Yes
11584,DevOps,M,2010,No
11585,Web,Other,2014,Yes
11586,Windows,F,2012,Yes
11587,IOS,F,2020,No
11588,Android,M,2010,No
11589,Cybersecurity,M,2019,Yes
11590,Android,F,2014,Yes
11591,IOS,F,2010,Yes
11592,IOS,Other,2009,No
11593,Windows,Other,2017,No
11594,Machine Learning,F,2023,Yes
11595,DevOps,M,2008,Yes
11596,Web,Other,2022,Yes
11597,Android,M,2008,No
11598,DevOps,F,2015,No
11599,Machine Learning,M,2008,Yes
11600,Cloud,Other,2022,Yes
11601,IOS,F,2022,No
11602,Machine Learning,Other,2023,No
11603,Cloud,F,2021,Yes
11604,Android,M,2023,No
11605,IOS,M,2009,Yes
11606,Windows,M,2018,No
11607,Windows,F,2023,Yes
11608,DevOps,F,2020,Yes
11609,DevOps,M,2018,Yes
11610,Windows,M,2022,Yes
11611,DevOps,M,2013,Yes
11612,IOS,M,2014,Yes
11613,Cloud,M,2013,No
11614,Cybersecurity,F,2016,No
11615,Android,Other,2010,Yes
11616,Cloud,F,2020,No
11617,Machine Learning,F,2023,No
11618,Cloud,M,2008,Yes
11619,Web,F,2011,Yes
11620,Windows,F,2020,Yes
11621,Cybersecurity,F,2022,No
11622,IOS,M,2021,No
11623,Cybersecurity,F,2018,No
11624,Web,M,2018,No
11625,Windows,M,2011,Yes
11626,Windows,M,2015,No
11627,Windows,F,2009,No
11628,Android,M,2011,No
11629,Cybersecurity,F,2016,No
11630,Cybersecurity,F,2011,No
11631,IOS,F,2011,No
11632,Web,M,2009,Yes
11633,Cybersecurity,Other,2013,Yes
11634,Machine Learning,Other,2012,Yes
11635,Android,M,2008,Yes
11636,IOS,Other,2016,Yes
11637,Web,F,2015,No
11638,Windows,Other,2011,Yes
11639,Windows,F,2021,No
11640,Web,F,2017,Yes
11641,Android,M,2009,No
11642,IOS,Other,2022,No
11643,Android,M,2020,Yes
11644,DevOps,F,2015,Yes
11645,Machine Learning,F,2012,Yes
11646,DevOps,M,2013,No
11647,Web,M,2010,Yes
11648,Web,Other,2021,Yes
11649,IOS,F,2019,Yes
11650,Windows,Other,2018,Yes
11651,Cloud,M,2021,Yes
11652,IOS,Other,2021,Yes
11653,Windows,F,2011,No
11654,Web,Other,2019,No
11655,IOS,F,2016,No
11656,Machine Learning,M,2021,No
11657,Machine Learning,M,2016,No
11658,Web,F,2009,Yes
11659,Machine Learning,F,2014,No
11660,Android,M,2022,No
11661,DevOps,M,2013,No
11662,Android,M,2023,No
11663,Cybersecurity,M,2008,No
11664,IOS,F,2020,Yes
11665,Windows,F,2014,Yes
11666,DevOps,F,2011,No
11667,Cybersecurity,F,2012,Yes
11668,Cybersecurity,M,2008,Yes
11669,Machine Learning,Other,2023,No
11670,Android,M,2018,Yes
11671,Android,F,2018,Yes
11672,DevOps,M,2011,Yes
11673,Machine Learning,F,2010,No
11674,Windows,F,2013,No
11675,DevOps,Other,2014,No
11676,IOS,M,2009,No
11677,Android,F,2019,No
11678,Cloud,Other,2023,Yes
11679,Web,F,2012,No
11680,Cloud,F,2016,Yes
11681,Android,M,2008,Yes
11682,Web,Other,2011,No
11683,Web,Other,2009,Yes
11684,Windows,F,2013,Yes
11685,Windows,F,2014,Yes
11686,Machine Learning,M,2013,No
11687,Web,M,2016,Yes
11688,Android,F,2014,Yes
11689,Windows,Other,2016,No
11690,Web,F,2014,Yes
11691,Machine Learning,Other,2009,Yes
11692,IOS,F,2018,Yes
11693,DevOps,M,2015,Yes
11694,Cloud,F,2015,Yes
11695,Windows,F,2012,Yes
11696,IOS,F,2014,No
11697,IOS,M,2010,No
11698,DevOps,M,2020,No
11699,IOS,F,2010,No
11700,Machine Learning,F,2010,No
11701,Android,Other,2008,Yes
11702,Cybersecurity,Other,2016,Yes
11703,Web,M,2009,No
11704,Android,M,2011,No
11705,Cybersecurity,M,2015,No
11706,Cybersecurity,F,2013,Yes
11707,Cloud,M,2012,Yes
11708,Windows,M,2009,No
11709,DevOps,M,2020,Yes
11710,DevOps,F,2009,Yes
11711,IOS,Other,2009,No
11712,Web,M,2009,Yes
11713,Android,F,2015,Yes
11714,DevOps,M,2022,No
11715,Web,M,2018,No
11716,Machine Learning,M,2014,No
11717,Cloud,F,2023,Yes
11718,Cloud,M,2013,Yes
11719,Cybersecurity,F,2020,No
11720,Machine Learning,F,2017,Yes
11721,Cloud,F,2009,Yes
11722,DevOps,F,2013,Yes
11723,IOS,F,2011,Yes
11724,IOS,M,2017,Yes
11725,Web,Other,2021,Yes
11726,DevOps,Other,2010,Yes
11727,IOS,F,2011,No
11728,Cybersecurity,F,2010,Yes
11729,Cloud,F,2016,Yes
11730,Android,F,2017,Yes
11731,Android,F,2016,No
11732,Web,F,2012,No
11733,DevOps,F,2009,Yes
11734,Machine Learning,F,2012,No
11735,Android,Other,2020,Yes
11736,DevOps,M,2012,No
11737,IOS,M,2020,Yes
11738,Web,F,2009,No
11739,Windows,M,2014,Yes
11740,DevOps,Other,2019,Yes
11741,Cloud,M,2008,No
11742,Machine Learning,F,2020,Yes
11743,DevOps,M,2015,Yes
11744,IOS,F,2015,Yes
11745,Web,F,2013,Yes
11746,Cybersecurity,M,2015,Yes
11747,Machine Learning,M,2008,Yes
11748,Cloud,Other,2019,Yes
11749,Machine Learning,M,2016,No
11750,Machine Learning,M,2015,Yes
11751,Android,M,2022,Yes
11752,Web,Other,2022,Yes
11753,Machine Learning,Other,2010,Yes
11754,Web,F,2015,Yes
11755,Android,Other,2018,No
11756,DevOps,Other,2012,Yes
11757,Cybersecurity,F,2016,No
11758,Machine Learning,M,2020,No
11759,Machine Learning,F,2016,Yes
11760,Cloud,M,2022,No
11761,Cybersecurity,M,2012,Yes
11762,Machine Learning,M,2008,No
11763,DevOps,F,2013,No
11764,Web,F,2012,No
11765,IOS,F,2019,No
11766,Windows,M,2022,Yes
11767,Windows,F,2008,Yes
11768,Machine Learning,Other,2010,No
11769,DevOps,Other,2019,No
11770,Cloud,M,2013,No
11771,Android,Other,2019,Yes
11772,Web,M,2015,No
11773,Web,M,2015,Yes
11774,Android,M,2016,No
11775,Web,F,2015,Yes
11776,IOS,F,2011,Yes
11777,DevOps,F,2017,No
11778,Machine Learning,F,2010,Yes
11779,Web,F,2010,Yes
11780,Machine Learning,M,2014,No
11781,IOS,F,2013,Yes
11782,Android,M,2014,Yes
11783,Machine Learning,M,2010,Yes
11784,Machine Learning,M,2010,No
