id,page_type,year_established,country
6305,government,2019,Italy
6306,company,2003,Kazakhstan
6307,government,2017,Grenada
6308,government,2023,Guinea-Bissau
6309,politician,2018,Botswana
6310,company,2009,Liberia
6311,politician,2003,Egypt
6312,tvshow,2007,Pakistan
6313,government,2013,Iceland
6314,company,2003,Moldova
6315,politician,2004,Gambia
6316,government,2014,Bolivia
6317,politician,2021,Vietnam
6318,politician,2019,Slovenia
6319,politician,2018,Kosovo
6320,politician,2015,Spain
6321,company,2020,Equatorial Guinea
6322,politician,2015,Guinea
6323,government,2014,France
6324,tvshow,2003,France
6325,company,2016,Antigua & Deps
6326,tvshow,2019,Antigua & Deps
6327,company,2019,Montenegro
6328,politician,2004,Greece
6329,politician,2007,Cuba
6330,tvshow,2013,Bahamas
6331,government,2017,Ecuador
6332,politician,2010,Romania
6333,tvshow,2014,Burundi
6334,company,2002,China
6335,government,2020,Mexico
6336,politician,2013,Peru
6337,government,2002,Hungary
6338,government,2020,Czech Republic
6339,government,2022,Palau
6340,company,2010,Congo 
6341,tvshow,2014,Saudi Arabia
6342,government,2004,Japan
6343,company,2004,Andorra
6344,tvshow,2023,Germany
6345,government,2021,Burkina
6346,tvshow,2020,Iraq
6347,government,2016,Austria
6348,government,2012,Trinidad & Tobago
6349,government,2006,Portugal
6350,tvshow,2004,Mauritania
6351,politician,2006,Netherlands
6352,company,2013,Slovakia
6353,company,2015,Monaco
6354,politician,2017,Jordan
6355,politician,2002,Malawi
6356,company,2022,Bangladesh
6357,politician,2011,Gambia
6358,politician,2014,Dominica
6359,politician,2020,South Sudan
6360,government,2016,Malta
6361,government,2009,Malaysia
6362,company,2011,Tonga
6363,company,2009,Moldova
6364,company,2016,Tanzania
6365,politician,2012,Niger
6366,government,2021,Saint Vincent & the Grenadines
6367,company,2020,China
6368,company,2012,Macedonia
6369,politician,2008,Bhutan
6370,politician,2003,Austria
6371,government,2004,Niger
6372,tvshow,2022,Tonga
6373,government,2017,Philippines
6374,government,2016,Fiji
6375,government,2016,Costa Rica
6376,politician,2011,Somalia
6377,government,2016,Czech Republic
6378,politician,2015,Seychelles
6379,politician,2023,Lithuania
6380,tvshow,2005,Ireland
6381,company,2005,Swaziland
6382,company,2005,Bulgaria
6383,government,2008,Solomon Islands
6384,politician,2012,Qatar
6385,tvshow,2010,Cambodia
6386,company,2018,Japan
6387,company,2012,Papua New Guinea
6388,tvshow,2009,Poland
6389,politician,2010,Tuvalu
6390,tvshow,2019,Kyrgyzstan
6391,tvshow,2021,Guinea
6392,government,2004,Bhutan
6393,politician,2010,Comoros
6394,company,2018,Jamaica
6395,politician,2012,Tajikistan
6396,politician,2004,Austria
6397,government,2005,Antigua & Deps
6398,tvshow,2008,Iraq
6399,politician,2019,Cambodia
6400,government,2018,El Salvador
6401,company,2006,Ukraine
6402,politician,2016,Benin
6403,tvshow,2012,Cyprus
6404,government,2003,South Sudan
6405,company,2014,Mozambique
6406,politician,2018,South Africa
6407,company,2013,Bahamas
6408,government,2002,Latvia
6409,government,2016,Suriname
6410,government,2003,Mali
6411,tvshow,2012,Benin
6412,tvshow,2011,Montenegro
6413,politician,2006,Italy
6414,government,2004,Kyrgyzstan
6415,government,2020,Iraq
6416,company,2005,Ireland
6417,politician,2010,Iraq
6418,tvshow,2014,Lebanon
6419,government,2008,Portugal
6420,politician,2011,Moldova
6421,government,2004,Guyana
6422,government,2019,Korea North
6423,government,2011,Germany
6424,politician,2013,New Zealand
6425,company,2011,Egypt
6426,government,2017,Marshall Islands
6427,politician,2003,Antigua & Deps
6428,politician,2011,United States
6429,politician,2008,Ivory Coast
6430,tvshow,2004,Georgia
6431,company,2005,Gambia
6432,company,2010,Eritrea
6433,tvshow,2003,Chile
6434,politician,2009,Germany
6435,government,2012,Nigeria
6436,government,2014,Belgium
6437,company,2008,Kyrgyzstan
6438,politician,2017,Kazakhstan
6439,company,2012,Bhutan
6440,politician,2007,Uruguay
6441,government,2009,Oman
6442,tvshow,2011,Angola
6443,government,2010,Morocco
6444,government,2009,Vietnam
6445,tvshow,2009,Vanuatu
6446,tvshow,2009,El Salvador
6447,company,2006,Paraguay
6448,politician,2002,Estonia
6449,company,2002,Papua New Guinea
6450,government,2020,Malaysia
6451,company,2015,Dominica
6452,company,2018,Mali
6453,government,2010,Slovenia
6454,company,2003,Mongolia
6455,politician,2010,Palau
6456,politician,2019,South Sudan
6457,company,2023,Poland
6458,government,2010,Bolivia
6459,government,2005,Greece
6460,government,2008,Costa Rica
6461,company,2016,Paraguay
6462,politician,2009,Jordan
6463,tvshow,2008,Trinidad & Tobago
6464,politician,2022,Belgium
6465,company,2014,Cameroon
6466,politician,2005,Maldives
6467,tvshow,2006,Swaziland
6468,company,2007,Mexico
6469,company,2013,Morocco
6470,government,2004,Philippines
6471,tvshow,2005,Laos
6472,politician,2021,Kosovo
6473,government,2007,Namibia
6474,politician,2020,Moldova
6475,company,2014,Sweden
6476,company,2016,Vietnam
6477,politician,2008,Libya
6478,tvshow,2005,Ukraine
6479,politician,2006,Greece
6480,politician,2005,Nicaragua
6481,government,2010,Argentina
6482,government,2023,United Arab Emirates
6483,politician,2023,Uganda
6484,government,2022,Vanuatu
6485,government,2013,Tunisia
6486,government,2003,Ghana
6487,company,2022,Nicaragua
6488,company,2008,Guatemala
6489,tvshow,2023,Uganda
6490,government,2018,Portugal
6491,politician,2021,Georgia
6492,government,2013,Barbados
6493,politician,2013,Egypt
6494,politician,2007,Japan
6495,politician,2018,Russian Federation
6496,government,2023,Togo
6497,company,2008,Kosovo
6498,government,2008,Moldova
6499,tvshow,2021,Syria
6500,politician,2012,Liechtenstein
6501,company,2011,Hungary
6502,politician,2015,Estonia
6503,politician,2013,Peru
6504,government,2010,Bolivia
6505,tvshow,2011,Marshall Islands
6506,company,2009,Sao Tome & Principe
6507,company,2019,Canada
6508,company,2009,Gambia
6509,politician,2020,Switzerland
6510,tvshow,2008,Romania
6511,company,2017,Samoa
6512,government,2009,Mongolia
6513,company,2004,Eritrea
6514,politician,2009,Iraq
6515,politician,2009,Ukraine
6516,government,2019,Tanzania
6517,company,2011,Liechtenstein
6518,company,2016,Seychelles
6519,government,2010,Luxembourg
6520,politician,2016,Belarus
6521,company,2009,Central African Rep
6522,politician,2023,Madagascar
6523,politician,2009,Zambia
6524,tvshow,2021,Zimbabwe
6525,government,2011,Singapore
6526,company,2014,El Salvador
6527,tvshow,2003,Equatorial Guinea
6528,politician,2010,Bosnia Herzegovina
6529,company,2020,Belgium
6530,company,2023,Liberia
6531,company,2012,Lesotho
6532,company,2013,Equatorial Guinea
6533,politician,2013,Croatia
6534,tvshow,2002,Algeria
6535,company,2008,Senegal
6536,government,2007,Cuba
6537,tvshow,2013,Sri Lanka
6538,company,2014,Tunisia
6539,politician,2017,Costa Rica
6540,government,2019,Croatia
6541,company,2016,Singapore
6542,politician,2015,Solomon Islands
6543,government,2002,Syria
6544,government,2007,Germany
6545,tvshow,2019,Slovakia
6546,politician,2002,Bhutan
6547,company,2011,Estonia
6548,politician,2013,Azerbaijan
6549,tvshow,2006,Eritrea
6550,politician,2018,Lithuania
6551,government,2009,Antigua & Deps
6552,government,2013,Algeria
6553,tvshow,2022,Iceland
6554,tvshow,2022,Oman
6555,politician,2010,Djibouti
6556,politician,2022,Brunei
6557,politician,2004,Liechtenstein
6558,tvshow,2013,Vatican City
6559,tvshow,2017,Uzbekistan
6560,tvshow,2007,Togo
6561,tvshow,2009,Nauru
6562,government,2005,Austria
6563,politician,2011,Malaysia
6564,company,2021,Burkina
6565,tvshow,2020,Venezuela
6566,politician,2020,Ethiopia
6567,politician,2015,Saint Vincent & the Grenadines
6568,company,2018,Luxembourg
6569,government,2002,Mali
6570,company,2003,El Salvador
6571,government,2003,Tonga
6572,politician,2013,Yemen
6573,government,2010,Croatia
6574,government,2011,Tonga
6575,company,2016,Portugal
6576,politician,2005,Hungary
6577,company,2013,East Timor
6578,politician,2009,Congo
6579,company,2006,Chad
6580,politician,2017,Oman
6581,government,2004,Peru
6582,company,2018,Cyprus
6583,government,2023,Monaco
6584,government,2017,Guatemala
6585,politician,2020,Dominica
6586,tvshow,2018,Jordan
6587,government,2015,Latvia
6588,government,2002,Djibouti
6589,government,2015,Mauritania
6590,company,2013,Ecuador
6591,government,2003,Lesotho
6592,government,2003,Liechtenstein
6593,company,2004,Tunisia
6594,politician,2014,Samoa
6595,tvshow,2017,Dominica
6596,company,2014,Switzerland
6597,government,2003,Niger
6598,company,2004,Belgium
6599,government,2005,Syria
6600,government,2016,Bahrain
6601,company,2011,Cameroon
6602,company,2023,Australia
6603,politician,2010,Tanzania
6604,tvshow,2016,Switzerland
6605,government,2008,St Kitts & Nevis
6606,company,2014,Samoa
6607,company,2009,Laos
6608,government,2019,Antigua & Deps
6609,company,2020,Dominican Republic
6610,company,2004,Kosovo
6611,company,2003,Taiwan
6612,government,2023,Tunisia
6613,company,2023,Croatia
6614,government,2016,Bahamas
6615,company,2011,Belgium
6616,government,2009,Kosovo
6617,company,2006,Haiti
6618,government,2013,Mauritius
6619,politician,2017,St Kitts & Nevis
6620,government,2009,China
6621,politician,2011,United Arab Emirates
6622,government,2020,Tonga
6623,tvshow,2016,Tuvalu
6624,company,2021,Israel
6625,government,2006,Belarus
6626,government,2014,Afghanistan
6627,government,2008,South Sudan
6628,government,2018,Slovenia
6629,politician,2012,Guinea-Bissau
6630,company,2022,Lesotho
6631,politician,2015,Trinidad & Tobago
6632,politician,2007,St Kitts & Nevis
6633,government,2019,New Zealand
6634,politician,2018,Japan
6635,tvshow,2002,Kazakhstan
6636,government,2014,San Marino
6637,company,2019,Guinea
6638,politician,2011,Trinidad & Tobago
6639,politician,2014,Vietnam
6640,government,2023,Colombia
6641,politician,2020,Latvia
6642,government,2011,South Africa
6643,politician,2008,Tonga
6644,politician,2019,Cuba
6645,company,2023,Djibouti
6646,politician,2017,Somalia
6647,government,2003,Austria
6648,company,2010,Andorra
6649,government,2008,Poland
6650,politician,2017,Belgium
6651,politician,2004,Kazakhstan
6652,tvshow,2002,Togo
6653,politician,2011,Ecuador
6654,tvshow,2012,Macedonia
6655,tvshow,2008,Saint Vincent & the Grenadines
6656,company,2016,Tuvalu
6657,company,2008,Sri Lanka
6658,politician,2005,Sweden
6659,tvshow,2009,Ireland
6660,tvshow,2020,Malaysia
6661,government,2023,Kiribati
6662,tvshow,2011,Morocco
6663,tvshow,2002,Nauru
6664,politician,2003,United Kingdom
6665,company,2007,Slovenia
6666,government,2021,Kenya
6667,company,2005,Indonesia
6668,government,2006,United Kingdom
6669,government,2011,Sao Tome & Principe
6670,company,2017,Albania
6671,company,2010,Gambia
6672,company,2018,Sao Tome & Principe
6673,company,2020,Congo 
6674,company,2006,Barbados
6675,politician,2007,Congo
6676,government,2017,Fiji
6677,government,2010,Egypt
6678,company,2016,Pakistan
6679,government,2012,Sao Tome & Principe
6680,company,2016,Bhutan
6681,politician,2004,Guinea-Bissau
6682,company,2013,Trinidad & Tobago
6683,government,2017,Venezuela
6684,government,2002,Indonesia
6685,company,2006,Mauritius
6686,government,2023,Moldova
6687,government,2008,Kenya
6688,politician,2010,Ethiopia
6689,government,2022,Sweden
6690,government,2016,Iran
6691,politician,2018,Madagascar
6692,tvshow,2009,Bangladesh
6693,government,2004,Malawi
6694,politician,2003,Tanzania
6695,politician,2021,Palau
6696,government,2004,Saudi Arabia
6697,politician,2008,Azerbaijan
6698,government,2003,Finland
6699,politician,2013,Canada
6700,politician,2014,Ivory Coast
6701,company,2016,Guatemala
6702,politician,2019,United States
6703,government,2023,South Africa
6704,government,2019,Benin
6705,tvshow,2012,Singapore
6706,tvshow,2016,Netherlands
6707,company,2015,Mongolia
6708,tvshow,2023,Benin
6709,politician,2023,Ireland
6710,politician,2022,Slovakia
6711,tvshow,2008,Mexico
6712,company,2016,Italy
6713,government,2017,Costa Rica
6714,politician,2012,Tajikistan
6715,government,2020,Pakistan
6716,tvshow,2016,Oman
6717,government,2007,Kyrgyzstan
6718,company,2014,Guatemala
6719,government,2020,Bosnia Herzegovina
6720,government,2013,Malaysia
6721,government,2007,United Arab Emirates
6722,company,2014,Philippines
6723,company,2003,Finland
6724,company,2012,Eritrea
6725,politician,2002,Equatorial Guinea
6726,tvshow,2005,Oman
6727,government,2022,Kiribati
6728,government,2005,Paraguay
6729,government,2015,Armenia
6730,company,2021,Benin
6731,government,2021,Guyana
6732,company,2009,Venezuela
6733,company,2018,Syria
6734,government,2008,Cuba
6735,government,2006,Kosovo
6736,politician,2023,Algeria
6737,tvshow,2020,Paraguay
6738,politician,2009,Cambodia
6739,politician,2009,Argentina
6740,company,2020,Egypt
6741,government,2018,Tuvalu
6742,tvshow,2007,Poland
6743,government,2013,Costa Rica
6744,company,2011,Brazil
6745,tvshow,2022,Spain
6746,government,2008,Taiwan
6747,government,2014,Bahamas
6748,government,2020,Nigeria
6749,politician,2022,Australia
6750,government,2012,Argentina
6751,politician,2023,Estonia
6752,politician,2002,Mongolia
6753,company,2011,Vanuatu
6754,company,2009,Gambia
6755,company,2015,Chile
6756,company,2017,Australia
6757,company,2013,Hungary
6758,company,2009,Cyprus
6759,politician,2019,Nicaragua
6760,government,2014,Philippines
6761,politician,2009,South Sudan
6762,company,2005,Sierra Leone
6763,company,2011,Fiji
6764,politician,2020,Vatican City
6765,government,2004,United Kingdom
6766,government,2004,Guatemala
6767,government,2015,Mexico
6768,company,2023,Venezuela
6769,company,2016,Belarus
6770,tvshow,2012,Iceland
6771,company,2004,Mauritania
6772,tvshow,2015,Canada
6773,government,2008,Azerbaijan
6774,tvshow,2009,Marshall Islands
6775,government,2003,Guinea
6776,tvshow,2014,Djibouti
6777,company,2023,Vanuatu
6778,company,2015,Central African Rep
6779,tvshow,2004,Guyana
6780,government,2004,Armenia
6781,politician,2018,Zambia
6782,government,2020,Poland
6783,company,2007,Zimbabwe
6784,company,2020,Venezuela
6785,company,2020,Colombia
6786,company,2015,Belarus
6787,government,2008,Austria
6788,government,2011,Gambia
6789,company,2014,Singapore
6790,company,2023,Senegal
6791,politician,2012,Senegal
6792,politician,2010,India
6793,tvshow,2007,Canada
6794,tvshow,2018,El Salvador
6795,politician,2007,Namibia
6796,tvshow,2016,Belize
6797,company,2013,Papua New Guinea
6798,company,2010,Algeria
6799,politician,2012,Sri Lanka
6800,company,2015,Australia
6801,politician,2013,Malawi
6802,government,2019,Nepal
6803,politician,2006,Armenia
6804,politician,2006,Somalia
6805,government,2003,Japan
6806,government,2014,Iraq
6807,government,2014,Marshall Islands
6808,company,2019,Gambia
6809,company,2008,Bosnia Herzegovina
6810,company,2005,Cuba
6811,company,2016,Malaysia
6812,politician,2017,Uzbekistan
6813,government,2016,Denmark
6814,company,2009,San Marino
6815,government,2005,China
6816,company,2011,Croatia
6817,tvshow,2012,Montenegro
6818,politician,2002,Papua New Guinea
6819,government,2023,Australia
6820,politician,2011,Sierra Leone
6821,tvshow,2004,Somalia
6822,politician,2015,Cameroon
6823,politician,2021,Cyprus
6824,politician,2005,Iceland
6825,politician,2013,Australia
6826,tvshow,2019,United States
6827,company,2003,Costa Rica
6828,government,2017,St Kitts & Nevis
6829,government,2017,Rwanda
6830,politician,2008,Portugal
6831,company,2004,Djibouti
6832,government,2004,Kosovo
6833,politician,2015,Liberia
6834,politician,2015,Luxembourg
6835,politician,2012,Belarus
6836,tvshow,2010,Turkey
6837,company,2003,Vietnam
6838,politician,2012,United Arab Emirates
6839,politician,2018,St Kitts & Nevis
6840,company,2016,Malta
6841,company,2010,Trinidad & Tobago
6842,company,2014,Guyana
6843,government,2019,Eritrea
6844,government,2021,Costa Rica
6845,politician,2007,India
6846,company,2011,Georgia
6847,tvshow,2002,Kazakhstan
6848,politician,2004,Russian Federation
6849,tvshow,2021,Dominican Republic
6850,company,2006,Papua New Guinea
6851,government,2006,Burkina
6852,politician,2005,France
6853,company,2017,Ivory Coast
6854,government,2012,Costa Rica
6855,government,2022,Belarus
6856,government,2010,Benin
6857,company,2004,Burkina
6858,government,2023,Burundi
6859,company,2007,Taiwan
6860,company,2021,Ecuador
6861,company,2016,Grenada
6862,politician,2023,United States
6863,company,2015,Dominican Republic
6864,company,2010,Macedonia
6865,politician,2016,Bahrain
6866,government,2021,Bahrain
6867,politician,2004,Botswana
6868,politician,2009,Australia
6869,tvshow,2010,Portugal
6870,politician,2016,Syria
6871,company,2004,Korea North
6872,tvshow,2005,Tajikistan
6873,tvshow,2008,France
6874,government,2009,Malawi
6875,government,2015,Gabon
6876,company,2004,Armenia
6877,company,2004,Dominican Republic
6878,company,2017,Papua New Guinea
6879,tvshow,2013,Ireland
6880,company,2013,Barbados
6881,government,2014,Poland
6882,company,2005,Senegal
6883,company,2022,Bhutan
6884,company,2015,Eritrea
6885,tvshow,2002,Sudan
6886,politician,2002,Niger
6887,politician,2002,Malta
6888,politician,2022,Mongolia
6889,company,2013,United Arab Emirates
6890,company,2021,Nicaragua
6891,company,2008,Belize
6892,politician,2010,Kiribati
6893,company,2016,Colombia
6894,government,2003,Ireland
6895,politician,2016,Korea North
6896,tvshow,2008,Serbia
6897,politician,2016,Nauru
6898,politician,2017,Canada
6899,politician,2010,Indonesia
6900,government,2002,Barbados
6901,government,2022,Qatar
6902,tvshow,2012,Serbia
6903,company,2009,Fiji
6904,politician,2022,Jamaica
6905,tvshow,2010,Turkey
6906,politician,2012,Syria
6907,company,2008,Germany
6908,politician,2016,Bahamas
6909,tvshow,2016,Poland
6910,company,2013,Rwanda
6911,company,2009,Brunei
6912,politician,2017,Mexico
6913,company,2015,Malaysia
6914,politician,2002,Belize
6915,tvshow,2013,Greece
6916,government,2021,Luxembourg
6917,company,2012,Canada
6918,government,2014,Israel
6919,company,2023,Oman
6920,government,2019,Comoros
6921,company,2005,Nicaragua
6922,politician,2017,Korea North
6923,politician,2003,United Kingdom
6924,company,2007,Algeria
6925,politician,2015,Switzerland
6926,government,2002,Moldova
6927,government,2002,Mauritius
6928,company,2007,Tunisia
6929,politician,2011,India
6930,company,2008,Rwanda
6931,politician,2019,United Kingdom
6932,company,2011,Korea North
6933,politician,2016,South Sudan
6934,company,2002,Andorra
6935,government,2017,Morocco
6936,government,2022,Antigua & Deps
6937,government,2023,Iran
6938,company,2012,Israel
6939,politician,2021,Guinea-Bissau
6940,politician,2020,Swaziland
6941,tvshow,2011,Togo
6942,politician,2005,Ecuador
6943,company,2010,Netherlands
6944,company,2007,Suriname
6945,government,2018,Bolivia
6946,politician,2004,Angola
6947,government,2010,South Africa
6948,politician,2017,Cape Verde
6949,government,2018,Qatar
6950,tvshow,2006,Israel
6951,government,2013,Argentina
6952,government,2011,Grenada
6953,government,2015,Micronesia
6954,government,2021,New Zealand
6955,company,2022,Seychelles
6956,politician,2005,Afghanistan
6957,government,2009,Angola
6958,government,2011,Cyprus
6959,government,2005,Yemen
6960,government,2021,South Africa
6961,government,2005,Bolivia
6962,government,2021,Zambia
6963,tvshow,2015,Korea North
6964,politician,2005,Eritrea
6965,government,2002,Greece
6966,company,2012,Korea South
6967,tvshow,2003,Venezuela
6968,company,2004,Nauru
6969,company,2018,Saint Vincent & the Grenadines
6970,government,2003,Botswana
6971,company,2022,Montenegro
6972,politician,2010,Guatemala
6973,politician,2015,Congo
6974,government,2012,Oman
6975,politician,2012,Senegal
6976,company,2007,Israel
6977,company,2010,Papua New Guinea
6978,company,2010,Peru
6979,politician,2018,Egypt
6980,government,2012,Peru
6981,tvshow,2003,Botswana
6982,politician,2017,Guinea-Bissau
6983,government,2008,Bulgaria
6984,company,2015,Austria
6985,company,2021,Mexico
6986,government,2014,Slovakia
6987,company,2006,Malawi
6988,tvshow,2022,Guyana
6989,company,2013,Palau
6990,politician,2003,Bulgaria
6991,politician,2004,Suriname
6992,tvshow,2023,Botswana
6993,government,2017,Macedonia
6994,government,2008,Italy
6995,government,2011,Gambia
6996,politician,2003,Pakistan
6997,company,2023,Chad
6998,company,2011,Haiti
6999,politician,2008,Iceland
7000,tvshow,2014,Spain
7001,tvshow,2009,Egypt
7002,tvshow,2016,Russian Federation
7003,government,2005,Seychelles
7004,government,2023,Dominica
7005,company,2005,Czech Republic
7006,politician,2013,Rwanda
7007,company,2003,Dominica
7008,company,2010,Monaco
7009,government,2002,Colombia
7010,company,2004,Cuba
7011,tvshow,2016,Pakistan
7012,company,2023,Lebanon
7013,politician,2016,Nauru
7014,company,2012,Burkina
7015,government,2016,Bulgaria
7016,government,2007,Togo
7017,company,2007,Lebanon
7018,politician,2018,Turkmenistan
7019,government,2015,Serbia
7020,government,2003,Iraq
7021,company,2004,Ghana
7022,government,2011,Malaysia
7023,company,2015,Vietnam
7024,government,2015,Kuwait
7025,tvshow,2023,Antigua & Deps
7026,government,2020,Hungary
7027,company,2006,China
7028,company,2019,Samoa
7029,tvshow,2020,Samoa
7030,politician,2023,Colombia
7031,government,2008,United Arab Emirates
7032,politician,2023,New Zealand
7033,company,2008,Sri Lanka
7034,government,2002,Panama
7035,politician,2008,Moldova
7036,tvshow,2006,South Sudan
7037,government,2009,Lesotho
7038,tvshow,2011,Lesotho
7039,politician,2013,Luxembourg
7040,company,2014,Vietnam
7041,government,2020,Russian Federation
7042,tvshow,2015,Dominican Republic
7043,tvshow,2021,Honduras
7044,politician,2002,Bhutan
7045,company,2015,Vatican City
7046,tvshow,2020,Croatia
7047,company,2014,Bangladesh
7048,government,2018,Myanmar
7049,politician,2013,Nigeria
7050,politician,2008,Palau
7051,company,2020,Vietnam
7052,company,2009,Nicaragua
7053,company,2008,Slovakia
7054,government,2005,Switzerland
7055,government,2011,Kosovo
7056,government,2002,Gabon
7057,government,2021,Korea North
7058,tvshow,2017,Liechtenstein
7059,government,2017,Portugal
7060,politician,2016,Albania
7061,politician,2015,Croatia
7062,government,2014,Mauritania
7063,company,2007,Suriname
7064,politician,2015,Monaco
7065,politician,2011,Central African Rep
7066,government,2013,Albania
7067,tvshow,2006,Singapore
7068,government,2023,Marshall Islands
7069,government,2020,Palau
7070,tvshow,2003,Kosovo
7071,government,2006,Vanuatu
7072,government,2023,Sri Lanka
7073,government,2022,Turkey
7074,company,2011,Macedonia
7075,government,2009,Morocco
7076,politician,2021,Zambia
7077,government,2019,Canada
7078,government,2019,Mauritius
7079,company,2003,Armenia
7080,government,2011,Paraguay
7081,politician,2020,Gabon
7082,company,2020,Vietnam
7083,government,2011,Myanmar
7084,politician,2020,Tonga
7085,company,2009,Gambia
7086,politician,2022,Saint Vincent & the Grenadines
7087,company,2011,Suriname
7088,company,2014,Ivory Coast
7089,politician,2003,Seychelles
7090,politician,2011,Lithuania
7091,politician,2005,Albania
7092,company,2014,Ghana
7093,politician,2021,United States
7094,government,2015,United Arab Emirates
7095,government,2019,Cyprus
7096,government,2019,Benin
7097,tvshow,2018,Canada
7098,company,2013,Samoa
7099,politician,2004,Malawi
7100,government,2008,France
7101,company,2012,Panama
7102,company,2003,Tajikistan
7103,politician,2014,Ghana
7104,company,2005,Micronesia
7105,company,2011,Serbia
7106,politician,2004,Niger
7107,politician,2023,Algeria
7108,government,2011,Kosovo
7109,government,2003,Uruguay
7110,company,2016,Spain
7111,politician,2018,Algeria
7112,tvshow,2007,Sri Lanka
7113,company,2023,Mali
7114,politician,2011,Antigua & Deps
7115,politician,2011,Zambia
7116,politician,2004,Bulgaria
7117,company,2005,Romania
7118,politician,2002,Comoros
7119,tvshow,2004,China
7120,politician,2014,Denmark
7121,tvshow,2013,Kyrgyzstan
7122,government,2013,Oman
7123,government,2009,Malawi
7124,company,2022,Namibia
7125,politician,2023,Croatia
7126,company,2006,Libya
7127,company,2006,Kiribati
7128,government,2007,Peru
7129,politician,2005,Bulgaria
7130,company,2012,Denmark
7131,politician,2015,Georgia
7132,tvshow,2004,Senegal
7133,politician,2012,Madagascar
7134,government,2006,Bangladesh
7135,company,2005,Brunei
7136,government,2020,Nauru
7137,tvshow,2002,Saint Vincent & the Grenadines
7138,government,2012,Tunisia
7139,government,2004,Saudi Arabia
7140,company,2022,Iraq
7141,politician,2002,Venezuela
7142,government,2006,Ukraine
7143,company,2015,Maldives
7144,company,2018,Ivory Coast
7145,government,2014,Portugal
7146,politician,2002,Macedonia
7147,politician,2014,San Marino
7148,government,2014,San Marino
7149,politician,2004,Swaziland
7150,politician,2006,Comoros
7151,government,2003,New Zealand
7152,politician,2022,Myanmar
7153,company,2005,Ecuador
7154,tvshow,2007,South Africa
7155,government,2003,Honduras
7156,politician,2010,Saudi Arabia
7157,politician,2016,France
7158,company,2003,Andorra
7159,politician,2005,Guatemala
7160,company,2005,St Lucia
7161,government,2003,Singapore
7162,company,2016,Luxembourg
7163,company,2020,Thailand
7164,government,2013,Morocco
7165,government,2008,Ethiopia
7166,government,2016,Bangladesh
7167,company,2014,Madagascar
7168,government,2022,Georgia
7169,company,2021,Yemen
7170,government,2019,Senegal
7171,government,2023,Guinea
7172,tvshow,2008,Burkina
7173,company,2016,Vanuatu
7174,company,2016,Comoros
7175,politician,2016,Uruguay
7176,tvshow,2017,South Sudan
7177,government,2009,Monaco
7178,company,2020,Suriname
7179,politician,2012,Iraq
7180,company,2018,Tunisia
7181,tvshow,2016,Sri Lanka
7182,company,2006,Turkey
7183,politician,2017,India
7184,company,2002,Mongolia
7185,tvshow,2009,China
7186,company,2023,St Kitts & Nevis
7187,company,2009,Botswana
7188,government,2004,Benin
7189,tvshow,2011,United States
7190,tvshow,2008,Croatia
7191,company,2005,Guatemala
7192,government,2002,Guatemala
7193,government,2006,Ivory Coast
7194,company,2008,Maldives
7195,government,2017,Oman
7196,government,2009,Solomon Islands
7197,tvshow,2009,Germany
7198,government,2022,Eritrea
7199,government,2006,Dominican Republic
7200,company,2022,Afghanistan
7201,politician,2022,Central African Rep
7202,company,2012,Denmark
7203,government,2011,Lebanon
7204,politician,2021,Bulgaria
7205,company,2005,Saudi Arabia
7206,tvshow,2007,Chile
7207,government,2014,Nauru
7208,government,2015,Sao Tome & Principe
7209,government,2012,Sao Tome & Principe
7210,government,2009,Monaco
7211,company,2009,Bangladesh
7212,politician,2013,Togo
7213,government,2009,Botswana
7214,company,2010,Lesotho
7215,company,2020,Jamaica
7216,government,2002,Kyrgyzstan
7217,tvshow,2012,Bolivia
7218,tvshow,2017,Dominican Republic
7219,government,2006,Poland
7220,government,2010,Ukraine
7221,company,2012,Mauritius
7222,politician,2015,Syria
7223,company,2013,Cyprus
7224,company,2023,Azerbaijan
7225,company,2012,Canada
7226,company,2016,Panama
7227,company,2008,Ecuador
7228,tvshow,2014,Peru
7229,politician,2017,Dominica
7230,company,2013,Netherlands
7231,government,2002,Australia
7232,tvshow,2014,Ecuador
7233,tvshow,2022,China
7234,politician,2018,Malaysia
7235,government,2012,Senegal
7236,tvshow,2007,Nicaragua
7237,government,2018,El Salvador
7238,company,2011,Lesotho
7239,politician,2014,Cambodia
7240,government,2003,Norway
7241,company,2022,Bahrain
7242,company,2008,Chad
7243,government,2019,Colombia
7244,company,2018,Ethiopia
7245,government,2012,Uganda
7246,company,2007,Djibouti
7247,government,2005,Taiwan
7248,government,2020,Dominican Republic
7249,politician,2007,Ghana
7250,company,2014,Burkina
7251,tvshow,2006,St Lucia
7252,government,2023,Nepal
7253,company,2018,Australia
7254,politician,2007,Palau
7255,tvshow,2006,Portugal
7256,tvshow,2017,Albania
7257,politician,2018,Azerbaijan
7258,government,2018,Singapore
7259,government,2009,Turkey
7260,company,2018,Yemen
7261,government,2016,Mauritania
7262,company,2005,China
7263,government,2008,Panama
7264,tvshow,2018,Hungary
7265,government,2006,Grenada
7266,politician,2004,Ivory Coast
7267,politician,2019,Antigua & Deps
7268,politician,2005,Liberia
7269,government,2015,Congo
7270,politician,2015,United States
7271,politician,2020,Samoa
7272,government,2018,Thailand
7273,government,2016,Gabon
7274,government,2003,Honduras
